# Final state angular momentum:   1
# Broadening parameter (in eV):    0.100
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   41.01101101    0.00984243
   41.09109109    0.01035882
   41.17117117    0.01212239
   41.25125125    0.01194776
   41.33133133    0.01115307
   41.41141141    0.01167169
   41.49149149    0.01238678
   41.57157157    0.01240432
   41.65165165    0.01148588
   41.73173173    0.01229739
   41.81181181    0.01216062
   41.89189189    0.01452154
   41.97197197    0.02048549
   42.05205205    0.02047037
   42.13213213    0.01949846
   42.21221221    0.02113276
   42.29229229    0.02364080
   42.37237237    0.02639671
   42.45245245    0.02410759
   42.53253253    0.02606371
   42.61261261    0.02866824
   42.69269269    0.02782197
   42.77277277    0.02396866
   42.85285285    0.02264259
   42.93293293    0.02106324
   43.01301301    0.01756873
   43.09309309    0.01723921
   43.17317317    0.01799404
   43.25325325    0.02415880
   43.33333333    0.02965362
   43.41341341    0.02887576
   43.49349349    0.02553513
   43.57357357    0.02480349
   43.65365365    0.02744626
   43.73373373    0.03235732
   43.81381381    0.03252345
   43.89389389    0.02559336
   43.97397397    0.02307699
   44.05405405    0.02248614
   44.13413413    0.01951797
   44.21421421    0.01606083
   44.29429429    0.01520375
   44.37437437    0.01779367
   44.45445445    0.02263525
   44.53453453    0.02575545
   44.61461461    0.02324702
   44.69469469    0.02159748
   44.77477477    0.01992371
   44.85485485    0.01914412
   44.93493493    0.01956066
   45.01501502    0.02195242
   45.09509510    0.03020143
   45.17517518    0.03604770
   45.25525526    0.03372644
   45.33533534    0.03281196
   45.41541542    0.03596506
   45.49549550    0.03582948
   45.57557558    0.02813620
   45.65565566    0.02427956
   45.73573574    0.02591023
   45.81581582    0.02652223
   45.89589590    0.02442990
   45.97597598    0.01960628
   46.05605606    0.01913537
   46.13613614    0.02185677
   46.21621622    0.02202874
   46.29629630    0.02352681
   46.37637638    0.02579696
   46.45645646    0.02421114
   46.53653654    0.02269627
   46.61661662    0.02235728
   46.69669670    0.01965303
   46.77677678    0.01850424
   46.85685686    0.02212306
   46.93693694    0.02621786
   47.01701702    0.02692945
   47.09709710    0.02921901
   47.17717718    0.03444389
   47.25725726    0.03705329
