# Final state angular momentum:   1
# Broadening parameter (in eV):    0.100
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   24.67467467    0.04370107
   24.75475475    0.03837877
   24.83483483    0.02866878
   24.91491491    0.03387092
   24.99499499    0.04416050
   25.07507508    0.03394869
   25.15515516    0.02416550
   25.23523524    0.02222546
   25.31531532    0.02017671
   25.39539540    0.02029966
   25.47547548    0.02036368
   25.55555556    0.02628844
   25.63563564    0.02780910
   25.71571572    0.02878981
   25.79579580    0.04381787
   25.87587588    0.05468231
   25.95595596    0.04106600
   26.03603604    0.04305014
   26.11611612    0.04088743
   26.19619620    0.03348003
   26.27627628    0.03133226
   26.35635636    0.03608265
   26.43643644    0.04244849
   26.51651652    0.05739922
   26.59659660    0.08257402
   26.67667668    0.10492857
   26.75675676    0.10004163
   26.83683684    0.07267312
   26.91691692    0.06475841
   26.99699700    0.06115796
   27.07707708    0.05129145
   27.15715716    0.04760810
   27.23723724    0.03954489
   27.31731732    0.03887915
   27.39739740    0.04105425
   27.47747748    0.04094770
   27.55755756    0.03790580
   27.63763764    0.03800681
   27.71771772    0.02944787
   27.79779780    0.02446593
   27.87787788    0.02936887
   27.95795796    0.03518052
   28.03803804    0.02693129
   28.11811812    0.02340412
   28.19819820    0.02849778
   28.27827828    0.04256613
   28.35835836    0.07073993
   28.43843844    0.07803261
   28.51851852    0.05028602
   28.59859860    0.04210494
   28.67867868    0.04703676
   28.75875876    0.04985956
   28.83883884    0.04327660
   28.91891892    0.03715800
   28.99899900    0.03710808
   29.07907908    0.03598579
   29.15915916    0.04082055
   29.23923924    0.04282453
   29.31931932    0.04252413
   29.39939940    0.04277443
   29.47947948    0.04037803
   29.55955956    0.03042992
   29.63963964    0.02609601
   29.71971972    0.02656011
   29.79979980    0.02561077
   29.87987988    0.02039197
   29.95995996    0.02236200
   30.04004004    0.03102918
   30.12012012    0.03115757
   30.20020020    0.02612408
   30.28028028    0.02103267
   30.36036036    0.02029492
   30.44044044    0.02365988
   30.52052052    0.02762568
   30.60060060    0.03986749
   30.68068068    0.05954346
   30.76076076    0.06036052
   30.84084084    0.05175599
   30.92092092    0.06085138
   31.00100100    0.05869730
   31.08108108    0.04726882
   31.16116116    0.04128738
   31.24124124    0.05162857
   31.32132132    0.06359422
   31.40140140    0.06213094
   31.48148148    0.05953536
   31.56156156    0.07162079
   31.64164164    0.07322275
   31.72172172    0.05821573
   31.80180180    0.03813826
   31.88188188    0.03245292
   31.96196196    0.03950656
   32.04204204    0.05302008
   32.12212212    0.05870252
   32.20220220    0.04957028
   32.28228228    0.04041304
   32.36236236    0.03406187
   32.44244244    0.03489645
   32.52252252    0.04593965
   32.60260260    0.06197748
   32.68268268    0.07778327
   32.76276276    0.09820098
   32.84284284    0.11871183
   32.92292292    0.11458726
   33.00300300    0.09932808
   33.08308308    0.08699863
   33.16316316    0.07242166
   33.24324324    0.07493428
   33.32332332    0.08757885
   33.40340340    0.08981224
   33.48348348    0.06088821
   33.56356356    0.04721313
   33.64364364    0.04564496
   33.72372372    0.05544289
   33.80380380    0.07407315
   33.88388388    0.08154804
   33.96396396    0.10369325
   34.04404404    0.10880211
   34.12412412    0.10363621
   34.20420420    0.09247276
   34.28428428    0.10403488
   34.36436436    0.13608859
   34.44444444    0.12753786
   34.52452452    0.08864906
   34.60460460    0.06086696
   34.68468468    0.05522995
   34.76476476    0.06206948
   34.84484484    0.06695902
   34.92492492    0.05957686
   35.00500501    0.05781256
   35.08508509    0.05286130
   35.16516517    0.04874176
   35.24524525    0.05460943
   35.32532533    0.07148063
   35.40540541    0.06963920
   35.48548549    0.05003922
   35.56556557    0.04350904
   35.64564565    0.04724042
   35.72572573    0.05346078
   35.80580581    0.04442519
   35.88588589    0.03741414
   35.96596597    0.03933242
   36.04604605    0.03569814
   36.12612613    0.03303388
   36.20620621    0.03344112
   36.28628629    0.04004697
   36.36636637    0.04342953
   36.44644645    0.05079787
   36.52652653    0.05707072
   36.60660661    0.04977110
   36.68668669    0.05259018
   36.76676677    0.04744923
   36.84684685    0.04131076
   36.92692693    0.04478404
   37.00700701    0.05143806
   37.08708709    0.04547144
   37.16716717    0.03245829
   37.24724725    0.03210908
   37.32732733    0.04058205
   37.40740741    0.03509042
   37.48748749    0.02396786
   37.56756757    0.02149614
   37.64764765    0.02681702
   37.72772773    0.03142268
   37.80780781    0.02938092
   37.88788789    0.03356364
   37.96796797    0.03884379
   38.04804805    0.04264524
   38.12812813    0.03632535
   38.20820821    0.02549120
   38.28828829    0.01659640
   38.36836837    0.01309772
   38.44844845    0.01203636
   38.52852853    0.01323162
   38.60860861    0.01757178
   38.68868869    0.02747158
   38.76876877    0.03323055
   38.84884885    0.03499666
   38.92892893    0.04390403
   39.00900901    0.04115620
   39.08908909    0.03657132
   39.16916917    0.04356961
   39.24924925    0.03451892
   39.32932933    0.02707987
   39.40940941    0.03070794
   39.48948949    0.03433113
   39.56956957    0.03927961
   39.64964965    0.03571969
   39.72972973    0.03270863
   39.80980981    0.03094425
   39.88988989    0.03109774
   39.96996997    0.02600007
   40.05005005    0.02032054
   40.13013013    0.01548894
   40.21021021    0.01362963
   40.29029029    0.01417300
   40.37037037    0.01360216
   40.45045045    0.01455178
   40.53053053    0.01720867
   40.61061061    0.02244111
   40.69069069    0.02627713
   40.77077077    0.02453455
   40.85085085    0.02199840
   40.93093093    0.02063158
   41.01101101    0.01737951
   41.09109109    0.01395191
   41.17117117    0.01465545
   41.25125125    0.01663899
   41.33133133    0.01453272
   41.41141141    0.01284099
   41.49149149    0.01236784
   41.57157157    0.01151489
   41.65165165    0.01303202
   41.73173173    0.01462018
   41.81181181    0.01276097
   41.89189189    0.01384789
   41.97197197    0.01634714
   42.05205205    0.01798461
   42.13213213    0.01616440
   42.21221221    0.01604193
   42.29229229    0.02078555
   42.37237237    0.02872977
   42.45245245    0.03547235
   42.53253253    0.04352711
   42.61261261    0.04156602
   42.69269269    0.03255661
   42.77277277    0.02734614
   42.85285285    0.02507211
   42.93293293    0.02016791
   43.01301301    0.01509491
   43.09309309    0.01285646
   43.17317317    0.01222974
   43.25325325    0.01384201
   43.33333333    0.01789249
   43.41341341    0.01993699
   43.49349349    0.01966835
   43.57357357    0.02102233
   43.65365365    0.01854291
   43.73373373    0.01513106
   43.81381381    0.01454463
   43.89389389    0.01929800
   43.97397397    0.02966941
   44.05405405    0.03312584
   44.13413413    0.02783933
   44.21421421    0.02490539
   44.29429429    0.02859684
   44.37437437    0.02742771
   44.45445445    0.02245346
   44.53453453    0.02100527
   44.61461461    0.01866055
   44.69469469    0.01648164
   44.77477477    0.01522454
   44.85485485    0.01736566
   44.93493493    0.02028225
   45.01501502    0.02692167
   45.09509510    0.02743959
   45.17517518    0.02466496
   45.25525526    0.02167786
   45.33533534    0.01924220
   45.41541542    0.01703739
   45.49549550    0.01595092
   45.57557558    0.01707228
   45.65565566    0.01597703
   45.73573574    0.01519300
   45.81581582    0.01731320
   45.89589590    0.01541754
   45.97597598    0.01250133
   46.05605606    0.01389373
   46.13613614    0.01510074
   46.21621622    0.01315544
   46.29629630    0.01336261
   46.37637638    0.01521644
   46.45645646    0.01619229
   46.53653654    0.01525212
   46.61661662    0.01247064
   46.69669670    0.01265330
   46.77677678    0.01418334
   46.85685686    0.01697764
   46.93693694    0.02110209
   47.01701702    0.02217002
   47.09709710    0.01810416
   47.17717718    0.01251202
   47.25725726    0.01009706
   47.33733734    0.01048839
   47.41741742    0.01077655
   47.49749750    0.01181208
   47.57757758    0.01140748
   47.65765766    0.01285149
   47.73773774    0.01767276
   47.81781782    0.02160433
   47.89789790    0.02313124
   47.97797798    0.02460440
   48.05805806    0.02313288
   48.13813814    0.01920574
   48.21821822    0.01694251
   48.29829830    0.01360503
   48.37837838    0.01249093
   48.45845846    0.01274411
   48.53853854    0.01630193
   48.61861862    0.02303168
   48.69869870    0.02099178
   48.77877878    0.01775961
   48.85885886    0.01686318
   48.93893894    0.01864129
   49.01901902    0.02340892
   49.09909910    0.02358019
   49.17917918    0.02325245
   49.25925926    0.02921823
   49.33933934    0.03199294
